author	title	source	in collection	translator			sorted out	identifier
Edgar Allan Poe	The Narrative of Arthur Gordon Pym of Nantucket	https://www.gutenberg.org/ebooks/51060					False	1
Edgar Allan Poe	The Fall of the House of Usher	https://www.gutenberg.org/ebooks/932					False	2
H.P. Lovecraft	At the Mountains of Madness	https://archive.org/stream/TheCollectedWorksOfH.p.Lovecraft/The-Collected-Works-of-HP-Lovecraft_djvu.txt	The Collected Works of H.P. Lovecraft				False	3
H.P. Lovecraft	The Dunwich Horror	https://www.gutenberg.org/ebooks/50133					False	4
H.P. Lovecraft	The Shunned House	https://www.gutenberg.org/ebooks/31469					False	5
H.P. Lovecraft	Herbert West: Reanimator	https://archive.org/stream/TheCollectedWorksOfH.p.Lovecraft/The-Collected-Works-of-HP-Lovecraft_djvu.txt	The Collected Works of H.P. Lovecraft				False	127
H.P. Lovecraft	Cool Air	https://archive.org/stream/TheCollectedWorksOfH.p.Lovecraft/The-Collected-Works-of-HP-Lovecraft_djvu.txt	The Collected Works of H.P. Lovecraft				False	6
H. P. Lovecraft	The Call of Cthulhu	https://archive.org/stream/TheCollectedWorksOfH.p.Lovecraft/The-Collected-Works-of-HP-Lovecraft_djvu.txt	The Collected Works of H.P. Lovecraft				False	7
Bram Stoker	Dracula	https://www.gutenberg.org/ebooks/345					False	183
Franz Kafka	Metamorphosis	https://www.gutenberg.org/ebooks/5200		David Wyllie			False	8
Franz Kafka	The Trial	https://www.gutenberg.org/ebooks/7849		David Wyllie			False	9
Daphne Du Maurier	The Birds	https://mrnsmith.files.wordpress.com/2016/10/the-birds-by-daphne-du-maurier.pdf					False	10
Joseph Sheridan Le Fanu	Carmilla	https://www.gutenberg.org/ebooks/10007					False	12
Joseph Sheridan Le Fanu	The Watcher	https://www.gutenberg.org/ebooks/40510	The Watcher, and other weird stories				False	13
Joseph Sheridan Le Fanu	Passage In The Secret History Of An Irish Countess	https://www.gutenberg.org/ebooks/40510	The Watcher, and other weird stories				False	14
Joseph Sheridan Le Fanu	Strange Event In The Life Of Schalken The Painter	https://www.gutenberg.org/ebooks/40510	The Watcher, and other weird stories				False	15
Joseph Sheridan Le Fanu	The Fortunes Of Sir Robert Ardagh	https://www.gutenberg.org/ebooks/40510	The Watcher, and other weird stories				False	16
Joseph Sheridan Le Fanu	The Dream	https://www.gutenberg.org/ebooks/40510	The Watcher, and other weird stories				False	17
Joseph Sheridan Le Fanu	A Chapter In The History Of A Tyrone Family	https://www.gutenberg.org/ebooks/40510	The Watcher, and other weird stories				False	18
Algernon Blackwood	The Insanity of Jones	https://www.gutenberg.org/ebooks/16726	Four Weird Tales				False	19
Algernon Blackwood	The Man Who Found Out	https://www.gutenberg.org/ebooks/16726	Four Weird Tales				False	20
Algernon Blackwood	The Glamour Of The Snow	https://www.gutenberg.org/ebooks/16726	Four Weird Tales				False	21
Algernon Blackwood	Sand	https://www.gutenberg.org/ebooks/16726	Four Weird Tales				False	22
Charles B. Cory	Montezuma's Castle	https://www.gutenberg.org/ebooks/26995	Montezuma's Castle, and Other Weird Tales				False	184
William Hope Hodgson	The Night Land	https://www.gutenberg.org/ebooks/10662					False	23
William Hope Hodgson	The House On The Borderland	https://www.gutenberg.org/ebooks/10002					False	24
William Hope Hodgson	Carnacki, the Ghost Finder	https://www.gutenberg.org/ebooks/10832					False	25
William Hope Hodgson	The Ghost Pirates	https://www.gutenberg.org/ebooks/10966					False	26
William Hope Hodgson	The Boats of the "Glen Carrig"	https://www.gutenberg.org/ebooks/10542					False	27
M. R. James	A View from a Hill	https://gutenberg.ca/ebooks/james-viewfromahill/james-viewfromahill-00-h.html					False	28
M. R. James	A Warning to the Curious	http://gutenberg.net.au/ebooks06/0605921h.html					False	29
M. R. James	Canon Alberic’s Scrap-book	https://www.gutenberg.org/ebooks/8486	Ghost Stories of an Antiquary				False	30
M. R. James	Lost Hearts	https://www.gutenberg.org/ebooks/8486	Ghost Stories of an Antiquary				False	31
M. R. James	The Mezzotint	https://www.gutenberg.org/ebooks/8486	Ghost Stories of an Antiquary				False	32
M. R. James	The Ash-tree	https://www.gutenberg.org/ebooks/8486	Ghost Stories of an Antiquary				False	33
M. R. James	Number 13	https://www.gutenberg.org/ebooks/8486	Ghost Stories of an Antiquary				False	34
M. R. James	Count Magnus	https://www.gutenberg.org/ebooks/8486	Ghost Stories of an Antiquary				False	35
M. R. James	“Oh, Whistle, and I’ll Come to You, My Lad”	https://www.gutenberg.org/ebooks/8486	Ghost Stories of an Antiquary				False	36
